Symbol;Date; Open ; High ; Low ;Close 
LYD;2019-03-02;756.73;774.92;745.14;786.5
ROG;2019-02-28;217.53;238.07;177.97;277.63
RBC;2019-02-28;560.85;603.45;546.16;618.15
MSFT;2019-03-02;130.98;169.87;90.97;209.88
BELL;2019-03-03;858.28;878.28;825.55;911.01
MSFT;2019-03-01;442.76;478.82;406.5;515.09
ROG;2019-03-04;602.43;633.92;600.02;636.34
BELL;2019-02-28;64.45;107.04;40.69;130.8
TSLA;2019-02-28;669.41;711.12;624.38;756.15
DC.WT;2019-03-02;974.72;987.29;947.51;1014.49
TSLA;2019-03-03;278.22;312.29;231.95;358.56
LYD;2019-03-03;319.5;321.17;306.5;334.17
ARG;2019-02-28;558.19;605.94;557.5;606.63
ROG;2019-03-04;866.65;876.61;853.17;890.09
BELL;2019-02-28;497.61;509.99;460.56;547.03
BELL;2019-03-01;322.71;325.88;312.68;335.91
RBC;2019-03-04;316.18;321.88;271.09;366.97
LYD;2019-03-01;239.01;268.29;226.67;280.63
GOOG;2019-02-28;707.67;735.2;660.15;782.71
RBC;2019-03-01;154.09;177.65;118.61;213.14
BELL;2019-02-28;374.56;406.77;339.87;441.45
L.PR.B;2019-03-03;965.62;966.23;923.36;1008.5
GOOG;2019-02-28;357.93;391;350.32;398.61
TSLA;2019-03-01;763.58;784.75;759.94;788.4
TSLA;2019-03-01;477.44;507.16;439;545.6
DC.WT;2019-03-02;94.09;120.18;51.17;163.1
LYD;2019-03-04;243.98;282.16;212.82;313.31
MSFT;2019-03-01;562.95;565.42;532.17;596.2
RBC;2019-02-28;886.9;914.29;839.67;961.51
BELL;2019-03-03;830.67;851.9;798.19;884.38
L.PR.B;2019-03-03;913.01;920.14;872.07;961.08
RBC;2019-03-01;860.62;875.13;819.44;916.3
L.PR.B;2019-03-03;158.15;195.6;110.52;243.23
RBC;2019-03-04;345.43;392.98;336.09;402.33
LYD;2019-03-03;837.46;852.65;794.06;896.05
ARG;2019-02-28;267.76;270.06;248.46;289.36
RBC;2019-03-01;542.06;590.97;510.13;622.9
ROG;2019-03-04;18.95;40.29;-12.3;71.54
ARG;2019-03-02;919.91;931.21;917.24;933.88
BELL;2019-03-03;658.1;691.62;642.07;707.65
RBC;2019-03-03;249.53;272.86;208.22;314.18
RBC;2019-03-04;143.77;191.72;129.37;206.12
MSFT;2019-03-02;166.29;174.57;127.21;213.65
ARG;2019-03-02;883.67;890.47;877.37;896.77
DC.WT;2019-03-04;240.21;259.65;235.36;264.5
GOOG;2019-03-01;830.27;864.46;819.51;875.22
MSFT;2019-03-04;415.99;457.89;376.01;497.86
RBC;2019-02-28;271.02;298.9;263.39;306.53
LYD;2019-03-03;710.89;740.79;702.85;748.83
RBC;2019-03-03;107.29;108.91;102.74;113.46
MSFT;2019-03-01;369.17;393.4;325.71;436.86
RBC;2019-03-03;287.27;321.89;263.62;345.54
LYD;2019-03-01;6.38;44.54;-24.77;75.68
ARG;2019-03-01;142.68;155.9;128.39;170.19
RBC;2019-03-03;694.5;723.1;686.22;731.37
ARG;2019-03-04;728.07;753.83;700.22;781.68
L.PR.B;2019-02-28;872.4;879.76;857.35;894.8
GOOG;2019-03-01;277.23;306.94;232.76;351.4
BELL;2019-03-03;542.67;581.01;534.35;589.33
MSFT;2019-02-28;29.89;31.2;-14.91;76
ARG;2019-03-02;247.56;266.67;208.8;305.43
DC.WT;2019-03-02;753.75;774.96;731.15;797.56
LYD;2019-03-01;296.67;329.66;249.71;376.62
L.PR.B;2019-03-01;92.58;99.55;82.1;110.03
TSLA;2019-03-04;473.43;515.19;450.77;537.85
RBC;2019-03-04;626.36;674.54;602.61;698.29
RBC;2019-03-03;304.99;311.91;260.58;356.33
TSLA;2019-03-01;551.33;580.11;529.32;602.11
LYD;2019-03-01;684.95;705.99;675.38;715.56
ARG;2019-03-04;736.92;747.68;707.45;777.14
TSLA;2019-03-04;432.16;451.21;419.42;463.95
L.PR.B;2019-03-01;583.91;585.08;565.79;603.2
TSLA;2019-03-03;332.96;377.55;289.42;421.09
ARG;2019-03-02;807.89;847.81;768.04;887.66
BELL;2019-03-02;956.02;974.33;934.05;996.3
BELL;2019-03-03;330.05;358.93;317.26;371.72
L.PR.B;2019-03-01;693.78;731.53;685.3;740
RBC;2019-03-03;193.7;214.72;149.77;258.65
ROG;2019-03-03;870.48;900.55;866.39;904.64
GOOG;2019-03-04;760.74;796.7;752.73;804.71
TSLA;2019-03-03;112.23;128.78;89.78;151.24
TSLA;2019-03-03;650.03;667.53;611.45;706.11
RBC;2019-02-28;75.66;100.13;36.39;139.41
L.PR.B;2019-03-04;143.77;165.96;130;179.73
MSFT;2019-03-04;213.58;234.37;205.11;242.84
L.PR.B;2019-03-01;631.94;679.44;615.22;696.15
BELL;2019-03-02;366.74;383.21;350.87;399.08
TSLA;2019-02-28;211.88;243.76;209.64;246
GOOG;2019-02-28;384.35;406.86;337.76;453.45
L.PR.B;2019-03-02;858.59;877.12;824.88;910.83
MSFT;2019-03-03;101.04;101.73;51.09;151.68
ROG;2019-03-04;220.33;221.74;191.24;250.83
ARG;2019-03-04;13.77;14.8;-9.75;38.32
LYD;2019-03-01;480.03;484.77;464.03;500.78
BELL;2019-03-04;889.85;916.64;841.23;965.25
L.PR.B;2019-03-03;813.64;860.75;787.84;886.55
MSFT;2019-03-02;208.58;226.49;200.21;234.87
LYD;2019-03-01;992.26;1041.61;985.81;1048.06
ROG;2019-03-02;52.27;78.96;40.72;90.51
ARG;2019-03-03;988.41;1022.78;942.84;1068.35
TSLA;2019-02-28;707.17;748.06;675.13;780.1
L.PR.B;2019-03-02;809.33;833.68;806.44;836.56
BELL;2019-03-03;624.33;636.47;606.81;654
L.PR.B;2019-03-03;582.85;585.49;556.52;611.83
GOOG;2019-03-04;670.08;676.91;633.61;713.38
ARG;2019-03-01;453.67;488.67;426.35;515.99
RBC;2019-03-04;734.02;780.2;724.3;789.92
ARG;2019-03-01;577.73;615.27;531.67;661.34
MSFT;2019-03-01;717.8;740.23;677.65;780.38
RBC;2019-03-01;368.26;394.49;342.31;420.45
GOOG;2019-03-01;274.51;322.23;257.83;338.91
L.PR.B;2019-03-03;648.6;667.1;634.1;681.61
ROG;2019-03-02;179.9;218.44;131.99;266.34
GOOG;2019-02-28;113.75;138.5;72.99;179.26
BELL;2019-03-01;466.73;488.64;454.11;501.27
TSLA;2019-02-28;786.5;789.29;736.65;839.14
ROG;2019-03-04;170.86;218.1;162.78;226.17
MSFT;2019-03-02;368.43;386.47;358.66;396.24
L.PR.B;2019-03-01;647.08;663.89;617.84;693.13
DC.WT;2019-03-03;856.04;891.78;810.2;937.62
RBC;2019-03-04;505.89;534.47;467.37;572.98
TSLA;2019-02-28;170.22;202.99;122.68;250.53
GOOG;2019-03-04;605.97;634.64;595.3;645.31
L.PR.B;2019-03-03;720.06;766.58;701.39;785.25
RBC;2019-03-01;724.97;738.61;701.51;762.07
BELL;2019-03-01;929.29;935.97;903.41;961.84
ROG;2019-03-01;141.18;171.07;97.06;215.19
L.PR.B;2019-03-03;204.17;226.53;166.73;263.98
MSFT;2019-03-02;895.39;917;874.78;937.62
TSLA;2019-03-01;889.6;919.97;869.83;939.74
LYD;2019-03-03;978.57;1022.09;972.44;1028.22
TSLA;2019-03-01;140.97;146.73;128.81;158.88
GOOG;2019-02-28;342.26;360.65;336.15;366.76
MSFT;2019-03-01;671.85;689.46;640.41;720.89
BELL;2019-03-03;438.31;473.06;401.38;509.98
ARG;2019-02-28;217.67;245.61;187.36;275.91
L.PR.B;2019-02-28;271.37;287.86;227.19;332.04
ROG;2019-02-28;366.62;391.52;326.69;431.46
LYD;2019-03-02;522.12;545;487.27;579.85
L.PR.B;2019-03-04;223.57;245.02;176.83;291.76
ROG;2019-03-02;409.14;434.47;374.57;469.03
GOOG;2019-03-03;896.05;920.91;868.91;948.06
TSLA;2019-02-28;801.39;826.29;782.58;845.11
LYD;2019-03-04;885.78;908.89;869.5;925.16
LYD;2019-03-04;821.19;861.68;783.08;899.79
RBC;2019-03-01;512.67;517.52;485.79;544.41
ROG;2019-03-01;671.7;711.58;662.77;720.51
DC.WT;2019-03-03;780.55;824.68;748.26;856.97
L.PR.B;2019-03-03;338.35;352.19;313.13;377.41
BELL;2019-02-28;411.79;440.71;366.38;486.12
L.PR.B;2019-02-28;63.63;64.5;34.5;93.63
RBC;2019-03-03;727.76;748.49;705.76;770.48
TSLA;2019-03-03;117.99;134.36;90.68;161.68
GOOG;2019-03-01;743.94;766.55;694.56;815.93
TSLA;2019-03-03;119.51;136.51;109.37;146.66
RBC;2019-03-01;296.69;314.41;272.96;338.14
GOOG;2019-03-03;518.03;535.25;511.56;541.72
BELL;2019-03-03;600.04;647.66;576.6;671.11
ARG;2019-03-04;628.15;672.55;589.03;711.67
DC.WT;2019-02-28;855.94;890.09;843.26;902.78
TSLA;2019-03-01;920.1;933.06;896.67;956.49
MSFT;2019-03-03;84.19;90.35;36.77;137.77
MSFT;2019-03-03;461.63;474.53;433.36;502.8
ROG;2019-03-01;468.13;478.69;456.76;490.05
RBC;2019-03-02;45.68;92.59;-1.2;139.46
GOOG;2019-03-03;394.75;412.79;371.09;436.45
L.PR.B;2019-02-28;657.25;668.49;631.15;694.59
ARG;2019-02-28;366.2;410.63;340.79;436.04
LYD;2019-03-03;261.5;298.89;222.83;337.56
ARG;2019-03-01;655.96;685.59;617.53;724.02
L.PR.B;2019-03-04;728.92;773.56;684.41;818.07
GOOG;2019-03-01;459.49;463.55;432.06;490.98
MSFT;2019-03-03;283.57;311.9;242.87;352.6
TSLA;2019-02-28;465.53;500.82;441.25;525.1
RBC;2019-03-04;272.56;287.89;249.54;310.91
ROG;2019-03-01;189.23;193.15;140.8;241.57
BELL;2019-03-03;136.57;185.89;132.89;189.57
RBC;2019-03-01;764.99;814.01;718.33;860.67
GOOG;2019-03-02;25.82;61.48;11.11;76.19
L.PR.B;2019-03-01;536.63;552.59;491.23;597.99
BELL;2019-03-03;710.44;726.38;698.25;738.57
DC.WT;2019-02-28;203.56;250.93;189.72;264.77
ARG;2019-03-03;422.44;456.82;408.72;470.54
DC.WT;2019-03-03;128.38;174.04;112.11;190.3
MSFT;2019-03-03;549.85;577.15;515.88;611.12
L.PR.B;2019-03-03;534.3;574.79;505.89;603.2
GOOG;2019-03-01;548.17;555.9;501.24;602.82
GOOG;2019-03-02;743;759.45;704.37;798.09
ARG;2019-03-04;88.77;131.64;57.4;163.01
DC.WT;2019-02-28;796.59;833.6;765.17;865.02
ROG;2019-03-02;107.43;133.76;94.39;146.8
MSFT;2019-03-02;825.64;826.51;803.5;848.65
TSLA;2019-03-03;280.3;324.81;239.5;365.6
L.PR.B;2019-03-03;754.92;773.8;730.15;798.58
RBC;2019-03-01;445.83;460.47;406.72;499.59
RBC;2019-03-02;602.52;615.97;600.99;617.5
GOOG;2019-03-02;65.12;106.28;30.05;141.36
GOOG;2019-03-03;53.25;85.34;25.5;113.09
RBC;2019-03-02;310.16;317.48;289.43;338.2
LYD;2019-03-03;561.43;583.05;536.56;607.92
MSFT;2019-03-02;968.66;991.55;930.9;1029.31
ARG;2019-03-03;933.6;980.58;920.48;993.69
MSFT;2019-03-01;839.74;884.46;809.58;914.62
DC.WT;2019-03-01;665.82;674.33;621.23;718.91
MSFT;2019-02-28;644.14;681.22;640.04;685.32
RBC;2019-02-28;351.75;360.71;337.35;375.11
RBC;2019-03-02;756.6;805.61;747.48;814.72
LYD;2019-03-01;627.23;640.65;617.12;650.76
GOOG;2019-03-04;35.83;70.29;0.73;105.38
DC.WT;2019-03-03;431.89;464.16;424.82;471.23
RBC;2019-03-02;671.7;698.49;669.7;700.49
RBC;2019-03-03;567.12;606.53;529.24;644.41
ARG;2019-03-04;988.52;1030.79;987.46;1031.86
ARG;2019-03-01;173.15;175.07;130.33;217.89
ROG;2019-03-02;569.61;579.25;551.88;596.98
L.PR.B;2019-03-02;837.05;854.91;813.98;877.99
GOOG;2019-03-02;345.39;355.23;299.58;401.04
ARG;2019-03-01;443.8;458.87;418;484.67
BELL;2019-03-04;191.2;221.21;181;231.41
ARG;2019-03-02;558;590.65;514.46;634.18
TSLA;2019-03-03;804.45;808.48;764.04;848.89
ARG;2019-03-01;890.65;923.69;878.42;935.91
DC.WT;2019-03-03;166.05;207.2;124.54;248.71
ROG;2019-03-02;601.17;633.76;572.53;662.41
BELL;2019-03-03;795.91;803.33;778.1;821.14
L.PR.B;2019-03-03;192.99;206.41;145.05;254.35
DC.WT;2019-03-01;383.67;411.26;341.81;453.11
RBC;2019-03-01;208.97;225.87;191.31;243.53
MSFT;2019-03-02;7.59;54.41;-13.55;75.55
LYD;2019-03-02;502.49;527.17;493.19;536.47
RBC;2019-03-03;931.93;963.06;884.13;1010.86
RBC;2019-03-02;280.11;306.28;252.04;334.35
MSFT;2019-03-04;419.57;457.19;402.51;474.24
MSFT;2019-03-03;879.07;887.13;866.58;899.62
LYD;2019-03-01;664.14;677.11;644.81;696.44
LYD;2019-03-04;171.14;187.84;162.6;196.39
BELL;2019-03-02;331.62;369.65;281.75;419.52
LYD;2019-03-01;698.16;713.53;690.61;721.08
GOOG;2019-03-01;704.51;727;655.95;775.56
LYD;2019-03-01;9.77;22.8;-5.55;38.12
GOOG;2019-03-01;212.82;258.61;202.42;269.01
TSLA;2019-03-04;392.94;424.75;353.5;464.2
DC.WT;2019-03-02;33.47;44.44;26.45;51.45
RBC;2019-03-01;98.02;118.64;53.46;163.2
ARG;2019-02-28;673.23;706.89;659.45;720.67
L.PR.B;2019-03-02;160.96;173.38;124.54;209.79
GOOG;2019-03-04;763.48;783.49;744.13;802.84
MSFT;2019-03-01;820.53;834.94;804.56;850.91
TSLA;2019-03-01;693.83;730.1;691.75;732.19
MSFT;2019-03-03;748.44;787.6;716.81;819.23
TSLA;2019-03-02;521.82;570.62;477.87;614.57
L.PR.B;2019-03-01;560.53;579.36;533.74;606.15
L.PR.B;2019-03-02;653.79;660.43;612.28;701.94
RBC;2019-03-02;492.76;520.27;487.65;525.38
RBC;2019-02-28;321.04;352.06;272.14;400.96
DC.WT;2019-03-01;356.45;360.07;326.36;390.16
MSFT;2019-03-03;980.17;997.02;932.86;1044.33
LYD;2019-03-04;541.06;558.57;518.93;580.7
TSLA;2019-03-04;485.29;504.73;471.65;518.37
RBC;2019-03-04;754.29;799.17;739.14;814.31
TSLA;2019-03-01;80.75;85.92;79.61;87.06
MSFT;2019-03-01;450.87;490.79;425.77;515.89
ROG;2019-03-04;867.51;916.7;836.88;947.33
MSFT;2019-03-01;9.24;41.51;-20.04;70.8
GOOG;2019-03-03;381.08;430.25;348.76;462.57
L.PR.B;2019-03-01;142.52;159.11;108.97;192.65
RBC;2019-03-03;2.54;46.94;-16.36;65.85
BELL;2019-03-03;35.37;63;32.03;66.34
RBC;2019-03-01;404.54;443.49;388.65;459.39
MSFT;2019-02-28;92.58;108.11;76.73;123.96
LYD;2019-03-01;898.13;904.36;892.38;910.1
BELL;2019-03-01;388.29;400.99;363.65;425.63
MSFT;2019-03-03;725.52;730.57;694.23;761.86
LYD;2019-03-02;401.52;451.3;382.28;470.54
DC.WT;2019-03-01;469.36;480.28;460.24;489.4
TSLA;2019-03-02;667.63;709.91;663.29;714.25
LYD;2019-03-02;378.88;428.45;362.24;445.09
MSFT;2019-03-03;742.4;755.78;723.8;774.38
MSFT;2019-02-28;104.82;137.37;55.8;186.39
ROG;2019-03-03;101.98;125.88;88.46;139.4
BELL;2019-03-02;903.26;945.75;881.89;967.12
BELL;2019-03-03;16.26;37.8;-33.34;87.4
ARG;2019-02-28;93.53;96.13;71.66;118
GOOG;2019-03-01;184.37;186.44;157.51;213.3
ROG;2019-03-04;33.79;66.9;32;68.7
BELL;2019-03-01;870.1;903.88;845.23;928.75
LYD;2019-03-03;7.43;19.23;5.34;21.32
MSFT;2019-02-28;75.88;102.75;71.87;106.75
LYD;2019-03-01;477.84;498.42;432.82;543.44
RBC;2019-03-03;122.18;156.4;89.99;188.58
ARG;2019-03-01;359.22;365.63;332.63;392.22
ROG;2019-03-03;687.78;713.8;682.76;718.81
GOOG;2019-03-02;144.66;152.28;127.17;169.77
TSLA;2019-02-28;937.08;953.57;910.54;980.11
DC.WT;2019-03-04;648.89;682.66;621.07;710.48
GOOG;2019-03-03;536.37;538.55;488.9;586.03
RBC;2019-02-28;989.41;1012.39;981.79;1020.01
ARG;2019-03-04;530.33;556.41;492.82;593.93
DC.WT;2019-03-02;59.34;85.71;28.61;116.43
ROG;2019-03-04;143;169.88;114.42;198.47
LYD;2019-02-28;561.57;565.19;556.79;569.97
LYD;2019-02-28;269.08;276.01;237.25;307.83
ROG;2019-03-04;568.94;599.97;520.36;648.55
ARG;2019-03-02;586.11;621.1;550.63;656.58
ARG;2019-03-03;599.7;612.03;591.05;620.68
GOOG;2019-03-03;988.31;1032.72;951.38;1069.64
RBC;2019-03-04;251.99;282.86;215.74;319.11
TSLA;2019-02-28;446.11;470.37;422.21;494.27
RBC;2019-03-03;492.38;535.03;449.44;577.98
LYD;2019-03-04;801.31;803.65;751.32;853.65
L.PR.B;2019-02-28;172.41;185.33;141.68;216.05
LYD;2019-03-01;91.1;103.14;47.41;146.83
LYD;2019-03-04;5.5;33.68;-28.26;67.44
L.PR.B;2019-03-02;798.13;825.77;787.83;836.07
ROG;2019-03-04;364.57;412.45;321.6;455.42
DC.WT;2019-03-01;840.36;849.25;796.81;892.8
LYD;2019-02-28;9.61;42.92;-5.16;57.69
ARG;2019-03-03;78.45;115.1;58.22;135.32
RBC;2019-03-01;839.98;862.64;823.55;879.08
L.PR.B;2019-03-03;539.33;587.78;512.82;614.29
GOOG;2019-03-04;244.88;278.26;213.97;309.17
GOOG;2019-03-01;300.81;326.38;285.58;341.61
TSLA;2019-03-03;15.4;26.75;-16.46;58.61
ARG;2019-03-04;234.33;276.31;197.65;313
ARG;2019-02-28;294.99;315.75;247.52;363.23
DC.WT;2019-03-01;45.79;56.74;6.8;95.73
LYD;2019-03-04;344.06;345.4;325.3;364.15
RBC;2019-03-04;376.72;422.23;348;450.95
RBC;2019-02-28;992.89;1027.26;954.18;1065.96
MSFT;2019-03-03;567.91;598.41;557.09;609.22
L.PR.B;2019-03-01;912.86;932.2;895.39;949.67
LYD;2019-03-03;854.47;866.72;835.97;885.22
RBC;2019-03-02;385.69;426.39;346.26;465.82
L.PR.B;2019-03-01;941.07;983.55;924.93;999.69
ARG;2019-03-02;343.06;380.5;326.65;396.92
BELL;2019-03-01;491.42;501.54;469.32;523.63
ROG;2019-03-01;644.54;658.99;630.72;672.8
TSLA;2019-03-03;770.68;800.41;722.37;848.73
ROG;2019-03-01;543.06;589.39;525.91;606.54
RBC;2019-03-03;234.26;284.15;195.83;322.58
ROG;2019-03-04;739.51;766.02;730.61;774.93
BELL;2019-02-28;658.51;668.87;620.69;706.69
TSLA;2019-03-01;33.72;57.24;11.8;79.15
RBC;2019-03-03;334.24;371.46;307.16;398.54
DC.WT;2019-03-01;854.43;867.96;836.73;885.66
MSFT;2019-02-28;926.2;972.49;911.82;986.87
MSFT;2019-03-04;671.33;690.97;670.56;691.73
ARG;2019-03-03;146.45;179.66;120.24;205.86
TSLA;2019-03-01;60.96;85.4;60.77;85.58
ROG;2019-03-04;847.79;883.65;800.75;930.69
GOOG;2019-03-02;281.48;299.1;281.08;299.49
DC.WT;2019-03-03;15.67;20.79;-27.08;63.54
ARG;2019-03-01;615.42;620.72;591.02;645.12
DC.WT;2019-03-02;216.14;232.72;170.63;278.23
MSFT;2019-03-02;814.49;840.59;781.85;873.23
TSLA;2019-03-03;909.63;940.64;901.57;948.7
LYD;2019-03-03;964.8;973.68;956.87;981.61
ROG;2019-02-28;655.56;656.43;650.4;661.59
BELL;2019-03-01;870.26;885.09;866.01;889.34
RBC;2019-02-28;835.88;839.16;821.35;853.68
ARG;2019-03-04;40.3;77.57;32.34;85.52
L.PR.B;2019-03-01;546.27;561.55;539.37;568.45
RBC;2019-03-02;121.1;159.92;84.12;196.9
RBC;2019-03-03;233.26;237.81;208.1;262.97
GOOG;2019-03-03;766.09;767.91;719.22;814.77
DC.WT;2019-03-04;8.68;27.56;0.29;35.95
RBC;2019-03-03;145.4;184.75;105.84;224.31
ARG;2019-03-03;656.55;693.71;614.56;735.7
BELL;2019-03-02;35.51;60.67;6;90.19
MSFT;2019-03-03;122.82;129.97;87.37;165.41
GOOG;2019-02-28;45.09;91.4;3.84;132.65
DC.WT;2019-03-03;614.65;643.89;566.69;691.84
L.PR.B;2019-03-01;600.64;619.35;561.35;658.64
BELL;2019-03-02;673.5;693.99;659.47;708.03
L.PR.B;2019-03-02;207.9;234.16;162.4;279.65
TSLA;2019-03-03;884.39;922.1;855.72;950.77
ROG;2019-03-01;100;100.05;80.5;119.54
LYD;2019-02-28;43.01;46.45;4.42;85.03
GOOG;2019-03-02;227.35;243.12;216.64;253.83
ARG;2019-03-03;255.68;286.39;231.92;310.15
LYD;2019-03-02;110.91;123;70.48;163.43
LYD;2019-03-02;642.83;676.71;604.97;714.58
MSFT;2019-03-02;578.12;610.1;535.6;652.63
TSLA;2019-03-04;433.12;433.93;394.67;472.38
BELL;2019-03-03;909.45;958.71;870.06;998.1
BELL;2019-03-02;89.83;132.04;73.92;147.95
DC.WT;2019-03-04;171.02;182.73;132.22;221.54
TSLA;2019-03-04;214.39;263.13;173.67;303.86
MSFT;2019-03-02;15.3;62.84;-0.8;78.93
LYD;2019-03-03;72.14;97.13;61.5;107.78
DC.WT;2019-02-28;678.24;678.65;675.7;681.19
LYD;2019-02-28;637.29;638.51;617.48;658.32
DC.WT;2019-02-28;463.74;472.18;457.54;478.38
MSFT;2019-03-04;650.14;689.73;649.39;690.47
DC.WT;2019-03-01;950.21;988.64;906.69;1032.17
TSLA;2019-03-04;982.02;987.29;966.51;1002.8
RBC;2019-03-03;714.27;763.6;693.26;784.61
ROG;2019-02-28;747.05;755.45;704.88;797.62
TSLA;2019-02-28;90.15;134.24;82.6;141.79
RBC;2019-03-01;152.2;181.11;139.24;194.07
GOOG;2019-02-28;631.96;635.09;620.46;646.59
ROG;2019-03-01;44.21;71.99;10.51;105.69
ARG;2019-03-02;655.34;674.4;625.65;704.09
LYD;2019-03-03;41.44;58.13;29.9;69.67
ROG;2019-03-04;488.61;525.12;484.13;529.6
GOOG;2019-03-01;338.42;376.85;332.45;382.82
RBC;2019-02-28;706.94;717.92;679.69;745.16
ROG;2019-02-28;561.51;571.73;522.66;610.58
LYD;2019-03-02;21.5;62.71;14.75;69.47
RBC;2019-03-04;363.22;380.34;322.32;421.25
LYD;2019-03-02;365.53;374.24;335.46;404.3
TSLA;2019-03-02;375.44;384.31;372.94;386.81
LYD;2019-02-28;250.63;262.73;204.91;308.45
LYD;2019-02-28;955.08;966.49;913.07;1008.49
TSLA;2019-03-01;552.22;575.01;529.1;598.13
DC.WT;2019-03-01;710.89;742.42;701.01;752.3
GOOG;2019-03-04;661.3;680.33;625.89;715.74
DC.WT;2019-03-01;432.85;473.24;430.19;475.9
LYD;2019-03-01;390.96;432.5;369.29;454.17
DC.WT;2019-03-04;258.39;263.35;250.71;271.02
L.PR.B;2019-03-04;664.46;696.47;625.5;735.43
BELL;2019-03-01;250.48;294.56;220.62;324.42
RBC;2019-03-03;322.12;342.32;290.35;374.09
BELL;2019-03-03;480.38;512.2;472.75;519.82
MSFT;2019-02-28;306.81;323.09;287.45;342.45
MSFT;2019-03-02;939.58;941.36;892.38;988.56
L.PR.B;2019-02-28;460.72;469.83;431.13;499.43
MSFT;2019-03-02;903.22;943.82;856.55;990.49
ROG;2019-03-03;696.2;725.97;658.72;763.45
LYD;2019-03-01;292.82;305.54;255.23;343.13
RBC;2019-03-02;401.19;401.57;352.47;450.3
BELL;2019-03-02;757.46;776;723.55;809.92
L.PR.B;2019-02-28;798.67;830.8;756.86;872.62
MSFT;2019-03-02;960.54;990.83;953.88;997.5
ARG;2019-03-03;636.65;678.81;604;711.46
GOOG;2019-03-01;268.71;274.15;256.65;286.21
MSFT;2019-03-02;962.64;994.53;951.47;1005.7
ROG;2019-03-03;538.49;548.82;528.06;559.25
ARG;2019-03-04;105.88;112.1;56.33;161.66
TSLA;2019-03-03;573.16;575.49;548.88;599.77
RBC;2019-03-03;625.56;654.74;621.99;658.31
RBC;2019-03-04;562.18;591.01;535.36;617.84
DC.WT;2019-03-04;239.06;264.93;193.17;310.83
BELL;2019-03-04;785.23;791.83;744.03;833.03
RBC;2019-03-01;305.43;342.05;275.39;372.09
ARG;2019-03-01;618.95;661.94;573.06;707.83
GOOG;2019-02-28;365.04;382.87;322.65;425.26
ROG;2019-03-01;802.78;814.27;801;816.05
LYD;2019-03-01;9.8;18.14;-27.28;55.22
BELL;2019-03-01;827.91;834.98;824.78;838.11
ROG;2019-03-04;484.4;505.43;483.78;506.05
RBC;2019-03-03;152.33;196.26;139.72;208.88
DC.WT;2019-03-04;536.2;573.05;533.41;575.85
RBC;2019-02-28;12.33;15.55;6.12;21.75
ROG;2019-03-02;646.36;654.54;644.1;656.8
ROG;2019-03-04;186.31;199.07;162.01;223.37
ROG;2019-03-01;64.14;68.85;32.45;100.53
DC.WT;2019-03-03;603.58;623.04;575.32;651.3
GOOG;2019-03-02;640.69;685.24;620.25;705.68
ROG;2019-03-02;805.99;828.91;796.54;838.36
GOOG;2019-03-02;500.75;548.48;477.86;571.37
ARG;2019-03-03;181.4;200.92;132.34;249.98
TSLA;2019-03-02;95.78;112.66;65.73;142.72
ROG;2019-02-28;818.93;853.34;804.66;867.61
RBC;2019-03-03;951;957.16;938.32;969.84
GOOG;2019-03-02;127.6;128.74;114.63;141.71
RBC;2019-03-03;651.86;667.74;647.03;672.56
TSLA;2019-03-03;814.43;853.92;788.26;880.08
DC.WT;2019-03-03;203.27;240.24;177.72;265.79
TSLA;2019-03-03;781.43;796.84;752.15;826.12
GOOG;2019-03-03;466.1;492.59;417.4;541.28
LYD;2019-03-04;80.07;112.44;70.17;122.35
L.PR.B;2019-03-01;667.26;714.23;629.26;752.24
BELL;2019-03-02;855.62;876.77;815.95;916.44
LYD;2019-03-02;855.78;874.49;822.75;907.52
GOOG;2019-02-28;608.42;639.68;601.43;646.67
GOOG;2019-02-28;129.36;161.23;110.73;179.87
BELL;2019-03-01;861.62;862.66;842.6;881.68
GOOG;2019-02-28;53.9;84.1;6.57;131.42
L.PR.B;2019-02-28;254.25;269.38;229.92;293.71
MSFT;2019-03-01;993.52;995.33;972.53;1016.32
BELL;2019-03-01;671.81;715.21;649.97;737.06
ARG;2019-03-04;760.42;777.87;760.1;778.2
MSFT;2019-03-03;375.67;378.87;358.3;396.24
L.PR.B;2019-03-04;456.44;500.83;433;524.27
DC.WT;2019-03-03;282.2;297.5;243.86;335.84
ARG;2019-03-02;737.1;772.94;730.15;779.89
MSFT;2019-03-04;19.96;36.33;2.5;53.78
GOOG;2019-03-01;17.34;63.7;-29.25;110.29
GOOG;2019-03-01;750.16;779.62;749.37;780.41
LYD;2019-03-02;437.06;445.98;406.56;476.48
RBC;2019-03-04;250.87;259.49;238.13;272.24
ROG;2019-03-03;38.57;67.1;1.52;104.15
ARG;2019-03-04;449.98;464.18;412.34;501.83
RBC;2019-03-02;323.1;351.93;285.9;389.13
ROG;2019-03-03;957.27;1003.36;954.06;1006.57
RBC;2019-03-01;84.93;113.52;39.71;158.73
GOOG;2019-03-04;125.63;139.69;125.56;139.76
DC.WT;2019-02-28;965.51;976.74;950;992.25
RBC;2019-03-03;697.29;722.28;649.92;769.65
TSLA;2019-02-28;884.95;921.87;878.09;928.74
LYD;2019-03-04;745.72;766.34;718.12;793.94
TSLA;2019-03-01;659.58;677.45;643.05;693.99
GOOG;2019-02-28;206.14;207.56;203.73;209.97
